id;name
82459441-0fd7-441c-9a36-388020f260e3;Metrics haptic Intranet
0ec531be-24c9-4674-aa7a-c6b00a943db4;Consultant Program
ca39f15a-ff0a-4f37-a00c-eeeaf2de8111;cutting-edge CSS
0700c8a9-6be2-460d-bc39-8ca7bd15b91b;virtual
e15a7515-531e-4bc0-8abd-adb042498d05;mobile
0c2b0bcc-e75f-4b1a-b054-1ba5c991e3e7;clear-thinking blockchains
81b5d18a-9b9e-4204-9406-1d5e0b43d193;azure RAM Strategist
a415e3ad-0076-46d1-93de-0f54bde19e9c;incentivize Gorgeous Market
47e79223-5fda-409a-8fdb-2c6ad6d0ee4f;integrated
854a16ae-6940-4851-804f-20ca8f38c01d;Georgia Shores
