id;name
875b870e-d57d-4beb-a833-18ab289da80b;magnetic
dfb9e8db-428a-489a-a08d-4d79c5ee7e0e;Junctions benchmark infrastructures
041d0049-d9a0-43aa-a632-312025207111;Polarised Nepal plum
4cbe7931-706b-45b8-913a-b870b140e7dc;Engineer Idaho
c7598711-fe97-44f1-ad82-9697da368833;feed Practical e-enable
f077ee2d-7f59-4c08-9548-11aec6f071e2;withdrawal Fresh connect
48faecee-a8f6-4f79-b574-bf34ce898493;optical
aadcc4ac-1fca-46cc-bed1-cd912c5d401b;red
be728512-f4cb-48fe-ac15-bd91cbce0a70;Garden Legacy
340274a0-9bed-4a7f-8c0d-2a86f6b9662d;Program withdrawal
